src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,mean_packet_length,std_packet_length,flow_duration,mean_inter_arrival_time,std_inter_arrival_time,handshake_ratio,application_data_ratio,alert_ratio,label
::1,::1,8443,8623,9,2435,270.55555555555554,429.9646267391232,2.032543182373047,0.2540678977966308,0.4376893425443859,0.1111111111111111,0.0,0.0,0
::1,::1,8443,9454,9,2435,270.55555555555554,429.9646267391232,2.0230958461761475,0.2528869807720184,0.4356178952562092,0.1111111111111111,0.0,0.0,0
::1,::1,8443,4452,9,2435,270.55555555555554,429.9646267391232,2.0169849395751958,0.2521231174468994,0.4343427485524597,0.1111111111111111,0.0,0.0,0
::1,::1,8443,11162,9,2435,270.55555555555554,429.9646267391232,2.027601957321167,0.2534502446651459,0.4360393907777952,0.1111111111111111,0.0,0.0,0
::1,::1,10532,8443,10,2310,231.0,452.2983528601448,2.031967163085937,0.2257741292317708,0.4197864578564677,0.1,0.0,0.0,0
::1,::1,4300,8443,10,2311,231.1,452.2686038185715,2.013483047485352,0.2237203386094835,0.4162491689730359,0.1,0.0,0.0,0
::1,::1,8648,8443,10,2311,231.1,452.2686038185715,2.007022857666016,0.2230025397406684,0.4149104567994139,0.1,0.0,0.0,0
::1,::1,8443,10482,9,2435,270.55555555555554,429.9646267391232,2.0132031440734863,0.2516503930091858,0.433379378962153,0.1111111111111111,0.0,0.0,0
::1,::1,4265,8443,10,2310,231.0,452.2983528601448,2.025600910186768,0.2250667677985297,0.4185140140780766,0.1,0.0,0.0,0
::1,::1,8443,10796,9,2435,270.55555555555554,429.9646267391232,2.0214080810546875,0.2526760101318359,0.4353038155468601,0.1111111111111111,0.0,0.0,0
::1,::1,8443,11796,9,2435,270.55555555555554,429.9646267391232,2.0344510078430176,0.2543063759803772,0.4380765811542162,0.1111111111111111,0.0,0.0,0
::1,::1,8443,6116,9,2435,270.55555555555554,429.9646267391232,2.01971697807312,0.25246462225914,0.4348155083082084,0.1111111111111111,0.0,0.0,0
::1,::1,4307,8443,10,2311,231.1,452.2686038185715,2.016101121902466,0.2240112357669406,0.4167242439232151,0.1,0.0,0.0,0
::1,::1,4412,8443,10,2311,231.1,452.2686038185715,2.01778507232666,0.2241983413696289,0.4171294152906518,0.1,0.0,0.0,0
::1,::1,6279,8443,10,2310,231.0,452.2983528601448,2.0112321376800537,0.2234702375200059,0.4157158270089358,0.1,0.0,0.0,0
::1,::1,6080,8443,10,2310,231.0,452.2983528601448,2.032732963562012,0.2258592181735568,0.4199326335861405,0.1,0.0,0.0,0
::1,::1,8568,8443,10,2311,231.1,452.2686038185715,2.022995948791504,0.2247773276435004,0.4177834372114,0.1,0.0,0.0,0
::1,::1,8443,4292,9,2435,270.55555555555554,429.9646267391232,2.0319411754608154,0.2539926469326019,0.437309399388441,0.1111111111111111,0.0,0.0,0
::1,::1,11789,8443,10,2310,231.0,452.2983528601448,2.019606828689575,0.2244007587432861,0.4175171742773177,0.1,0.0,0.0,0
::1,::1,10719,8443,10,2310,231.0,452.2983528601448,2.024461030960083,0.2249401145511203,0.4183583555640491,0.1,0.0,0.0,0
::1,::1,8443,11791,9,2435,270.55555555555554,429.9646267391232,2.026683807373047,0.2533354759216308,0.4362120361766285,0.1111111111111111,0.0,0.0,0
::1,::1,9867,8443,10,2310,231.0,452.2983528601448,2.0196259021759038,0.2244028780195448,0.4176915181344701,0.1,0.0,0.0,0
::1,::1,8443,2175,9,2435,270.55555555555554,429.9646267391232,2.0188798904418945,0.2523599863052368,0.4344308433906783,0.1111111111111111,0.0,0.0,0
::1,::1,8443,2182,9,2435,270.55555555555554,429.9646267391232,2.0215001106262207,0.2526875138282776,0.4351437516830288,0.1111111111111111,0.0,0.0,0
::1,::1,6032,8443,10,2310,231.0,452.2983528601448,2.0181338787078857,0.2242370976342095,0.4165965588741197,0.1,0.0,0.0,0
::1,::1,8443,6181,9,2435,270.55555555555554,429.9646267391232,2.013943910598755,0.2517429888248443,0.4338131573316155,0.1111111111111111,0.0,0.0,0
::1,::1,10790,8443,10,2310,231.0,452.2983528601448,2.013540983200073,0.2237267759111192,0.4161986179568679,0.1,0.0,0.0,0
::1,::1,8638,8443,10,2311,231.1,452.2686038185715,2.0182080268859863,0.2242453363206651,0.4171821755586439,0.1,0.0,0.0,0
::1,::1,4351,8443,10,2311,231.1,452.2686038185715,2.019965887069702,0.2244406541188558,0.4174938445700585,0.1,0.0,0.0,0
::1,::1,4293,8443,10,2311,231.1,452.2686038185715,2.0224900245666504,0.2247211138407389,0.4182625613615702,0.1,0.0,0.0,0
::1,::1,4417,8443,10,2311,231.1,452.2686038185715,2.03513503074646,0.2261261145273844,0.4205970396594169,0.1,0.0,0.0,0
::1,::1,8443,11819,9,2435,270.55555555555554,429.9646267391232,2.0372250080108643,0.254653126001358,0.4387689704952089,0.1111111111111111,0.0,0.0,0
::1,::1,8443,10520,9,2435,270.55555555555554,429.9646267391232,2.0179500579833984,0.2522437572479248,0.4345380415802834,0.1111111111111111,0.0,0.0,0
::1,::1,8443,10525,9,2435,270.55555555555554,429.9646267391232,2.0118601322174072,0.2514825165271759,0.4333741595201167,0.1111111111111111,0.0,0.0,0
::1,::1,8663,8443,10,2311,231.1,452.2686038185715,2.0246739387512207,0.2249637709723578,0.4186618865961688,0.1,0.0,0.0,0
::1,::1,8443,9961,9,2435,270.55555555555554,429.9646267391232,2.01570200920105,0.2519627511501312,0.4338479073154449,0.1111111111111111,0.0,0.0,0
